,link_stub,artist,title,sleeve,rlabel,rformat,country,release_dt,genre,style,rating,media,price,votes,haves,wants
Charles Mingus - Mingus Ah Um,/sell/item/1212396075,Charles Mingus,Mingus Ah Um,Very Good Plus (VG+),Columbia,"Vinyl, LP, Album, Mono",US,1959-01-15,Jazz,"Hard Bop, Bop",4.38,Very Good Plus (VG+),499,16.0,82.0,467.0
Jackie McLean - A Long Drink Of The Blues,/sell/item/1280369151,Jackie McLean,A Long Drink Of The Blues,Very Good Plus (VG+),Prestige,"Vinyl, LP, Album, Mono",US,1961-01-15,Jazz,Hard Bop,4.4,Near Mint (NM or M-),529,15.0,67.0,175.0
Dexter Gordon - Dexter Calling . . .,/sell/item/1269889236,Dexter Gordon,Dexter Calling . . .,Very Good Plus (VG+),Blue Note,"Vinyl, Album, LP, Mono",US,1961-12-15,Jazz,Hard Bop,4.59,Very Good Plus (VG+),400,27.0,155.0,329.0
Dexter Gordon - Go!,/sell/item/894691708,Dexter Gordon,Go!,Very Good Plus (VG+),Blue Note,"Vinyl, LP, Album, Mono",US,1962-01-15,Jazz,Hard Bop,4.67,Very Good Plus (VG+),525,52.0,309.0,742.0
Bennie Green - Soul Stirrin',/sell/item/1060581878,Bennie Green,Soul Stirrin',Very Good Plus (VG+),Blue Note,"Vinyl, LP, Album, Mono",US,1958-01-15,Jazz,Hard Bop,4.72,Mint (M),513,18.0,144.0,257.0
Miles Davis - Blue Moods,/sell/item/954359814,Miles Davis,Blue Moods,Good Plus (G+),Debut Records,"Vinyl, LP, Album",US,1955-01-15,Jazz,Hard Bop,4.24,Very Good Plus (VG+),505,25.0,147.0,572.0
Eric Dolphy - Out To Lunch!,/sell/item/1202733530,Eric Dolphy,Out To Lunch!,Very Good Plus (VG+),Blue Note,"Vinyl, LP, Album, Stereo",US,1964-08-15,Jazz,"Hard Bop, Free Jazz, Modal, Post Bop",4.62,Very Good Plus (VG+),502,85.0,418.0,1186.0
John Coltrane With The Red Garland Trio - Traneing In,/sell/item/862620627,John Coltrane With The Red Garland Trio,Traneing In,Very Good Plus (VG+),Prestige,"Vinyl, LP, Album, Repress, Mono, Yellow/Black Label",US,1961-01-15,Jazz,Hard Bop,4.67,Very Good Plus (VG+),500,21.0,206.0,204.0
John Coltrane - My Favorite Things,/sell/item/1143617682,John Coltrane,My Favorite Things,Very Good (VG),Atlantic,"Vinyl, LP, Album, Mono, Laminated Cover, Scranton Press",US,1961-01-15,Jazz,"Hard Bop, Modal",4.0,Very Good Plus (VG+),500,1.0,13.0,89.0
Ike Quebec - It Might As Well Be Spring,/sell/item/1071970629,Ike Quebec,It Might As Well Be Spring,Very Good (VG),Blue Note,"Vinyl, LP, Album, Stereo",US,1962-01-15,Jazz,Hard Bop,4.54,Near Mint (NM or M-),500,13.0,74.0,155.0
Clifford Brown - Memorial Album,/sell/item/1038105415,Clifford Brown,Memorial Album,Very Good (VG),Blue Note,"Vinyl, LP, Compilation, Mono",US,1956-07-15,Jazz,"Bop, Hard Bop",5.0,Very Good Plus (VG+),499,4.0,28.0,77.0
Benny Golson - Gone With Golson,/sell/item/786304712,Benny Golson,Gone With Golson,Very Good Plus (VG+),Prestige,"Vinyl, LP, Album, Mono",US,1960-01-15,Jazz,Hard Bop,4.67,Very Good (VG),500,9.0,65.0,165.0
Booker Ervin With Dexter Gordon - Setting The Pace,/sell/item/979002648,Booker Ervin With Dexter Gordon,Setting The Pace,Mint (M),Prestige,"Vinyl, LP, Album, Stereo",US,1967-01-15,Jazz,Hard Bop,3.82,Mint (M),500,11.0,114.0,90.0
Wes Montgomery - The Incredible Jazz Guitar Of Wes Montgomery,/sell/item/1212658768,Wes Montgomery,The Incredible Jazz Guitar Of Wes Montgomery,Very Good Plus (VG+),Riverside Records,"Vinyl, LP, Album, Mono",US,1960-01-15,Jazz,Hard Bop,4.53,Very Good Plus (VG+),500,40.0,260.0,597.0
Hank Mobley Quintet* - Mobley's 2nd Message,/sell/item/1279919559,Hank Mobley Quintet*,Mobley's 2nd Message,Very Good (VG),Prestige,"Vinyl, LP, Album, Mono",US,1957-01-15,Jazz,Hard Bop,4.5,Very Good (VG),500,8.0,53.0,165.0
Bennie Green - Walkin' And Talkin',/sell/item/1212547788,Bennie Green,Walkin' And Talkin',Near Mint (NM or M-),Blue Note,"Vinyl, LP, Album, Mono",US,1959-01-15,Jazz,Hard Bop,4.69,Near Mint (NM or M-),500,13.0,86.0,188.0
Cannonball Adderley - Somethin' Else,/sell/item/1128219015,Cannonball Adderley,Somethin' Else,Very Good Plus (VG+),Blue Note,"Vinyl, LP, Album, Mono, Deep Groove",US,1960-01-15,Jazz,"Bop, Hard Bop",4.79,Very Good Plus (VG+),475,19.0,127.0,369.0
Jackie McLean - Destination... Out!,/sell/item/1207783232,Jackie McLean,Destination... Out!,Very Good Plus (VG+),Blue Note,"Vinyl, LP, Album, Mono",US,1964-10-15,Jazz,"Hard Bop, Post Bop",4.53,Very Good Plus (VG+),500,43.0,175.0,493.0
Art Blakey & The Jazz Messengers - A Night In Tunisia,/sell/item/680104723,Art Blakey & The Jazz Messengers,A Night In Tunisia,Near Mint (NM or M-),Blue Note,"Vinyl, LP, Album, Stereo",US,1961-03-15,Jazz,Hard Bop,4.62,Near Mint (NM or M-),500,21.0,134.0,338.0
