Artist_Album,Label,Country,Format,Genre,Release_Date,Style,Media_Condition,Sleeve_Condition,Seller_Rating,Recorded_at,Pressed_by,Price,artist,album,reclabel,recyear,sleeve_cond_abbr,media_cond_abbr,seller_rating,rating,votes,haves,wants,price
"The Incredible Jimmy Smith* – At Club ""Baby Grand"" Wilmington, Delaware, (Volume 1)",Blue Note – BLP 1528,US,"Vinyl, LP, Album, Repress, Mono",Jazz,1958,"Soul-Jazz, Hard Bop",Near Mint (NM or M-),Sleeve: Very Good Plus (VG+),98.2%,Club Baby Grand,Plastylite,$180.00,The Incredible Jimmy Smith* ," At Club ""Baby Grand"" Wilmington, Delaware, (Volume 1)",Blue Note ,58,VG+,NM or M-,0.982,4.0,2.0,43,51,180.0
The Incredible Jimmy Smith* – Midnight Special,Blue Note – BLP 4078,US,"Vinyl, LP, Album, Mono, No DG","Jazz, Blues",1961,"Soul-Jazz, Hard Bop",Very Good Plus (VG+),Sleeve: Near Mint (NM or M-),99.9%,"Van Gelder Studio, Englewood Cliffs, New Jersey",Plastylite,$179.99,The Incredible Jimmy Smith* , Midnight Special,Blue Note ,61,NM or M-,VG+,0.9990000000000001,4.39,83.0,1008,264,179.99
Ray Draper Quintet* – Tuba Sounds,Prestige – PRLP 7096,US,"Vinyl, LP, Album, Mono",Jazz,1957,Hard Bop,Very Good Plus (VG+),Sleeve: Very Good (VG),100.0%,"Van Gelder Studio, Hackensack, New Jersey","Abbey Record Manufacturing Co., Inc.",$180.00,Ray Draper Quintet* , Tuba Sounds,Prestige ,57,VG,VG+,1.0,3.0,2.0,28,131,180.0
Charles Mingus – Mingus Ah Um,Columbia – CL 1370,US,"Vinyl, LP, Album, Promo, Mono",Jazz,1959,"Hard Bop, Bop",Very Good (VG),Sleeve: Good Plus (G+),100.0%,Columbia 30th Street Studio,,$165.00,Charles Mingus , Mingus Ah Um,Columbia ,59,G+,VG,1.0,4.82,11.0,92,498,165.0
John Coltrane – Olé Coltrane,Atlantic – 1373,US,"Vinyl, LP, Album, Mono",Jazz,1961,"Hard Bop, Avant-garde Jazz, Modal",Very Good (VG),Sleeve: Very Good Plus (VG+),100.0%,A&R Studios,MGM Custom Pressing Division,$175.00,John Coltrane , Olé Coltrane,Atlantic ,61,VG+,VG,1.0,4.8,15.0,81,269,175.0
Charles Mingus – Mingus At Monterey,"Jazz Workshop – JWS 001, Jazz Workshop – JWS 002",US,"2 × Vinyl, LP, Album",Jazz,1966,"Hard Bop, Post Bop",Very Good Plus (VG+),Sleeve: Very Good (VG),100.0%,Monterey Jazz Festival,,$169.00,Charles Mingus , Mingus At Monterey,Jazz Workshop ,66,VG,VG+,1.0,4.64,11.0,80,86,169.0
Charles Mingus – Mingus At Monterey,"Jazz Workshop – JWS 001, Jazz Workshop – JWS 002",US,"2 × Vinyl, LP, Album",Jazz,1966,"Hard Bop, Post Bop",Near Mint (NM or M-),Sleeve: Very Good (VG),100.0%,Monterey Jazz Festival,,$175.00,Charles Mingus , Mingus At Monterey,Jazz Workshop ,66,VG,NM or M-,1.0,4.64,11.0,80,86,175.0
"Sonny Rollins – A Night At The ""Village Vanguard""",Blue Note – BLP 1581,US,"Vinyl, LP, Album, Mono, Reissue",Jazz,1966,"Hard Bop, Bop",Very Good (VG),Sleeve: Very Good Plus (VG+),100.0%,Village Vanguard,,$174.99,Sonny Rollins ," A Night At The ""Village Vanguard""",Blue Note ,66,VG+,VG,1.0,4.6,5.0,58,135,174.99
Art Blakey & The Jazz Messengers – Meet You At The Jazz Corner Of The World (Volume 1),Blue Note – BST 84054,US,"Vinyl, LP, Album, Stereo",Jazz,Jul 1961,Hard Bop,Very Good Plus (VG+),Sleeve: Very Good (VG),100.0%,Birdland,Plastylite,$179.99,Art Blakey & The Jazz Messengers , Meet You At The Jazz Corner Of The World (Volume 1),Blue Note ,61,VG,VG+,1.0,4.67,6.0,62,65,179.99
The Miles Davis Quintet – Cookin' With The Miles Davis Quintet,"Prestige – PRLP 7094, Prestige – Prestige 7094",US,"Vinyl, LP, Album, Mono, Repress",Jazz,1958,Hard Bop,Very Good Plus (VG+),Sleeve: Very Good (VG),99.9%,,"Abbey Record Manufacturing Co., Inc.",$171.09,The Miles Davis Quintet , Cookin' With The Miles Davis Quintet,Prestige ,58,VG,VG+,0.9990000000000001,4.82,34.0,315,258,171.09
Don Friedman Trio – Circle Waltz,"Riverside Records – RLP 431, Riverside Records – 431",US,"Vinyl, LP, Album, Mono",Jazz,1962,"Hard Bop, Post Bop",Near Mint (NM or M-),Sleeve: Very Good (VG),100.0%,Plaza Sound Studios,MGM Record Manufacturing Division,$175.00,Don Friedman Trio , Circle Waltz,Riverside Records ,62,VG,NM or M-,1.0,4.5,2.0,20,71,175.0
"Freddie Redd Quartet With Jackie McLean – The Music From ""The Connection""",Blue Note – BLP 4027,US,"Vinyl, LP, Album, Mono",Jazz,1963,Hard Bop,Very Good (VG),Sleeve: Near Mint (NM or M-),96.4%,"Van Gelder Studio, Englewood Cliffs, New Jersey",Plastylite,$180.00,Freddie Redd Quartet With Jackie McLean ," The Music From ""The Connection""",Blue Note ,63,NM or M-,VG,0.9640000000000001,4.43,14.0,66,117,180.0
The John Coltrane Quartet – Africa / Brass,"Impulse! – A-6-S, Impulse! – A-6",US,"Vinyl, LP, Album, Stereo",Jazz,Sep 1961,"Free Jazz, Hard Bop, Modal",Near Mint (NM or M-),Sleeve: Near Mint (NM or M-),99.9%,,,$175.00,The John Coltrane Quartet , Africa / Brass,Impulse! ,61,NM or M-,NM or M-,0.9990000000000001,4.53,79.0,665,657,175.0
Art Farmer – Modern Art,United Artists Records – UAL-4007,US,"Vinyl, LP, Album, Mono",Jazz,1958,"Bop, Post Bop, Hard Bop",Near Mint (NM or M-),Sleeve: Very Good Plus (VG+),98.8%,,,$165.00,Art Farmer , Modern Art,United Artists Records ,58,VG+,NM or M-,0.988,4.5,20.0,157,161,165.0
Herbie Hancock – Takin' Off,Blue Note – BST 84109,US,"Vinyl, LP, Album, Reissue, Stereo",Jazz,1966,Hard Bop,Near Mint (NM or M-),Sleeve: Very Good Plus (VG+),100.0%,,,$165.00,Herbie Hancock , Takin' Off,Blue Note ,66,VG+,NM or M-,1.0,5.0,5.0,46,156,165.0
Joe Gordon – Introducing Joe Gordon,EmArcy – MG 26046,US,"Vinyl, LP, 10"", Album",Jazz,1955,Hard Bop,Near Mint (NM or M-),Sleeve: Very Good Plus (VG+),100.0%,,,$169.99,Joe Gordon , Introducing Joe Gordon,EmArcy ,55,VG+,NM or M-,1.0,5.0,1.0,21,35,169.99
"Johnny Griffin Sextet, Johnny Griffin – Johnny Griffin Sextet",Riverside Records – RLP 12-264,US,"Vinyl, LP, Album, Mono",Jazz,1958,Hard Bop,Very Good Plus (VG+),Sleeve: Very Good Plus (VG+),100.0%,,,$175.00,"Johnny Griffin Sextet, Johnny Griffin ", Johnny Griffin Sextet,Riverside Records ,58,VG+,VG+,1.0,4.22,9.0,81,136,175.0
Freddie Hubbard – Breaking Point,Blue Note – BST 84172,US,"Vinyl, LP, Album, Repress",Jazz,1966,"Hard Bop, Post Bop, Modal",Very Good (VG),Sleeve: Very Good (VG),100.0%,"Van Gelder Studio, Englewood Cliffs, New Jersey",,$175.00,Freddie Hubbard , Breaking Point,Blue Note ,66,VG,VG,1.0,4.38,16.0,134,142,175.0
Booker Ervin – The Freedom Book,"Prestige – PR 7295, Prestige – PRST 7295",US,"Vinyl, LP, Album, Stereo",Jazz,Mar 1964,Hard Bop,Very Good Plus (VG+),Sleeve: Very Good Plus (VG+),100.0%,,,$175.00,Booker Ervin , The Freedom Book,Prestige ,64,VG+,VG+,1.0,4.5,12.0,65,175,175.0
Sonny Rollins – Way Out West,Contemporary Records – LAC 12118,UK,"Vinyl, LP, Album, Mono",Jazz,1958,Hard Bop,Very Good Plus (VG+),Sleeve: Very Good (VG),92.6%,Contemporary's Studio,,$173.63,Sonny Rollins , Way Out West,Contemporary Records ,58,VG,VG+,0.9259999999999999,4.8,5.0,49,168,173.63
Ernie Henry Quartet – Seven Standards And A Blues,Riverside Records – RLP 12-248,US,"Vinyl, LP, Album, Mono",Jazz,1957,Hard Bop,Very Good Plus (VG+),Sleeve: Good Plus (G+),91.7%,Reeves Sound Studios,,$160.00,Ernie Henry Quartet , Seven Standards And A Blues,Riverside Records ,57,G+,VG+,0.917,3.6,5.0,46,91,160.0
Lee Morgan – The Rumproller,"Blue Note – BST 84199, Blue Note – ST-84199, Blue Note – 84199",US,"Vinyl, LP, Album, Stereo",Jazz,Dec 1965,Hard Bop,Very Good Plus (VG+),Sleeve: Very Good Plus (VG+),97.2%,,Plastylite,$150.00,Lee Morgan , The Rumproller,Blue Note ,65,VG+,VG+,0.972,4.72,36.0,324,269,150.0
Miles Davis – Miles Davis And The Modern Jazz Giants,Prestige – PRLP 7150,US,"Vinyl, LP, Compilation, Mono",Jazz,1959,Hard Bop,Very Good Plus (VG+),Sleeve: Very Good (VG),100.0%,,,$152.93,Miles Davis , Miles Davis And The Modern Jazz Giants,Prestige ,59,VG,VG+,1.0,4.56,52.0,497,416,152.93
Frank Strozier – Fantastic Frank Strozier,"Vee Jay Records – VJLP 3005, Vee Jay Records – SR 3005",US,"Vinyl, LP, Album, Stereo",Jazz,1960,Hard Bop,Mint (M),Sleeve: Near Mint (NM or M-),100.0%,Fine Recording Studios,,$150.00,Frank Strozier , Fantastic Frank Strozier,Vee Jay Records ,60,NM or M-,M,1.0,4.75,4.0,25,42,150.0
Anthony Williams – Spring,Blue Note – BLP 4216,US,"Vinyl, LP, Album, Mono",Jazz,1966,"Free Jazz, Post Bop, Hard Bop",Very Good (VG),Sleeve: Not Graded,99.9%,"Van Gelder Studio, Englewood Cliffs, New Jersey",Plastylite,$150.00,Anthony Williams , Spring,Blue Note ,66,,VG,0.9990000000000001,4.64,22.0,108,324,150.0
The Miles Davis Quintet – Relaxin' With The Miles Davis Quintet,"Prestige – 7129, Prestige – PRLP 7129",US,"Vinyl, LP, Album, Mono",Jazz,1958,Hard Bop,Very Good (VG),Sleeve: Very Good (VG),100.0%,,,$150.00,The Miles Davis Quintet , Relaxin' With The Miles Davis Quintet,Prestige ,58,VG,VG,1.0,4.72,72.0,528,433,150.0
