Artist_Album,Genre,Release_Date,Style,Rate_Haves_Wants,Media_Condition,Sleeve_Condition,Seller_Rating,Price
Art Blakey & The Jazz Messengers – A Night In Tunisia,Jazz,Feb 1961,Hard Bop,"Rated 4.64 of 53 votes (358 have, 622 want)",Very Good Plus (VG+),Sleeve: Near Mint (NM or M-),99.0%,$399.99
Jackie McLean – It's Time!,Jazz,Jun 1965,Hard Bop,"Rated 4.53 of 19 votes (128 have, 365 want)",Very Good (VG),Sleeve: Very Good (VG),97.4%,$399.99
Grant Green – Grant's First Stand,Jazz,1962,"Hard Bop, Soul-Jazz","Rated 4.20 of 5 votes (35 have, 148 want)",Near Mint (NM or M-),Sleeve: Near Mint (NM or M-),99.9%,$380.00
The Miles Davis Quintet – Cookin' With The Miles Davis Quintet,Jazz,Jul 1957,Hard Bop,"Rated 4.70 of 63 votes (458 have, 822 want)",Very Good Plus (VG+),Sleeve: Very Good (VG),100.0%,$344.12
John Coltrane – Coltrane,Jazz,1958,Hard Bop,"Rated 4.83 of 12 votes (64 have, 242 want)",Near Mint (NM or M-),Sleeve: Very Good Plus (VG+),100.0%,$360.00
Charles Mingus – Mingus At Monterey,Jazz,1965,"Hard Bop, Post Bop","Rated 4.33 of 3 votes (33 have, 91 want)",Near Mint (NM or M-),Sleeve: No Cover,99.5%,$325.00
Miles Davis – Miles Davis And The Modern Jazz Giants,Jazz,1964,"Bop, Hard Bop","Rated 4.56 of 9 votes (78 have, 136 want)",Near Mint (NM or M-),Sleeve: Near Mint (NM or M-),87.8%,$399.00
The Ray Draper Quintet Featuring John Coltrane – The Ray Draper Quintet Featuring John Coltrane,Jazz,1958,Hard Bop,"Rated 5.00 of 1 votes (3 have, 20 want)",Very Good (VG),Sleeve: Good (G),99.8%,$368.00
Sonny Rollins – Plus 4,Jazz,1956,Hard Bop,"Rated 4.59 of 29 votes (137 have, 277 want)",Very Good (VG),Sleeve: Good Plus (G+),99.0%,$385.71
John Coltrane – My Favorite Things,Jazz,1961,"Hard Bop, Modal","Rated 4.60 of 121 votes (844 have, 1116 want)",Very Good Plus (VG+),Sleeve: Good Plus (G+),100.0%,$310.04
Bennie Green – Walkin' And Talkin',Jazz,1959,Hard Bop,"Rated 4.69 of 13 votes (86 have, 189 want)",Very Good Plus (VG+),Sleeve: Very Good Plus (VG+),100.0%,$349.99
Jackie McLean – Bluesnik,Jazz,1963,Hard Bop,"Rated 4.67 of 3 votes (35 have, 104 want)",Near Mint (NM or M-),Sleeve: Very Good Plus (VG+),99.6%,$329.99
Albert Ayler – My Name Is Albert Ayler,Jazz,1965,"Hard Bop, Free Jazz","Rated 4.43 of 7 votes (33 have, 192 want)",Mint (M),Sleeve: Mint (M),100.0%,$350.00
Eric Dolphy Quintet – Outward Bound,Jazz,1960,"Hard Bop, Post Bop","Rated 4.64 of 42 votes (197 have, 446 want)",Very Good (VG),Sleeve: Very Good (VG),99.6%,$300.30
Blue Mitchell Sextet – Blue Soul,Jazz,1959,Hard Bop,"Rated 4.43 of 7 votes (78 have, 179 want)",Very Good Plus (VG+),Sleeve: Very Good Plus (VG+),99.7%,$325.00
"Sonny Rollins – A Night At The ""Village Vanguard""",Jazz,Dec 1957,"Hard Bop, Bop","Rated 4.61 of 44 votes (295 have, 496 want)",Very Good (VG),Sleeve: Very Good (VG),98.5%,$354.41
Dexter Gordon – Doin' Allright,Jazz,1961,Hard Bop,"Rated 4.42 of 19 votes (141 have, 322 want)",Very Good Plus (VG+),Sleeve: Very Good Plus (VG+),95.2%,$358.00
John Coltrane – Lush Life,Jazz,Jan 1961,Hard Bop,"Rated 4.51 of 76 votes (573 have, 640 want)",Very Good Plus (VG+),Sleeve: Very Good Plus (VG+),99.6%,$375.00
Nick Ayoub Quintet – The Montreal Scene,Jazz,1964,"Hard Bop, Cool Jazz","Rated 4.25 of 4 votes (44 have, 157 want)",Near Mint (NM or M-),Sleeve: Near Mint (NM or M-),100.0%,$299.99
The Miles Davis Quintet – Workin' With The Miles Davis Quintet,Jazz,Jan 1960,"Hard Bop, Bop","Rated 4.62 of 101 votes (812 have, 1032 want)",Very Good (VG),Sleeve: Good (G),100.0%,$300.00
"Jackie McLean – Swing, Swang, Swingin'",Jazz,Mar 1960,Hard Bop,"Rated 4.78 of 23 votes (121 have, 264 want)",Very Good (VG),Sleeve: Good Plus (G+),99.5%,$300.00
Sonny Rollins Quartet – Tenor Madness,Jazz,1958,"Bop, Hard Bop","Rated 4.80 of 10 votes (72 have, 113 want)",Very Good Plus (VG+),Sleeve: Very Good Plus (VG+),99.8%,$275.00
Lou Donaldson – The Time Is Right,Jazz,1960,"Hard Bop, Soul-Jazz","Rated 4.57 of 21 votes (123 have, 224 want)",Very Good (VG),Sleeve: Very Good (VG),97.4%,$299.99
Blue Mitchell – Blue's Moods,Jazz,1960,Hard Bop,"Rated 4.50 of 4 votes (26 have, 135 want)",Very Good Plus (VG+),Sleeve: Very Good (VG),100.0%,$275.00
Blue Mitchell – Blue's Moods,Jazz,1960,Hard Bop,"Rated 4.50 of 4 votes (26 have, 135 want)",Very Good (VG),Sleeve: Good Plus (G+),100.0%,$299.99
Charles Mingus – Mingus Ah Um,Jazz,14 Sep 1959,"Hard Bop, Bop","Rated 4.78 of 9 votes (69 have, 344 want)",Near Mint (NM or M-),Sleeve: Very Good Plus (VG+),96.4%,$299.99
